date,species,total_length,tail_length,hind_foot_length,ear_length,weight,sex,age
2016-07-12,eastern woodrat,360,165,28,39,294.8,F,A
2016-07-12,prairie vole,123,32,12,18,24.5,M,A
2016-07-12,western harvest mouse,138,69,15,17,11.3,M,A
2016-07-12,prairie vole,149,35,13,21,36.4,M,A
2016-07-12,deer mouse,136,57,16,19,13.6,F,A
2016-07-12,deer mouse,169,55,15,19,16.1,M,A
2016-07-12,deer mouse,139,55,15,19,17.9,M,A
2016-07-12,deer mouse,136,57,14,19,14.5,F,A
2016-07-13,eastern woodrat,331,136,27,37,196.3,F,A
2016-07-13,eastern woodrat,339,159,28,37,318.2,M,A
2016-07-13,prairie vole,160,35,15,20,49.6,F,A
2016-07-13,prairie vole,134,29,14,19,25.1,F,SA
2016-07-13,western harvest mouse,146,65,15,17,14,M,A
2016-07-13,western harvest mouse,141,63,14,16,16.3,M,A
2016-07-13,prairie vole,142,31,14,18,36.8,F,A
2016-07-13,western harvest mouse,139,64,13,17,9.8,F,SA
2016-07-13,western harvest mouse,143,65,14,16,12,M,A
2016-07-13,prairie vole,111,25,13,17,14.3,F,SA
2016-07-13,western harvest mouse,142,66,14,17,12,F,A
2016-07-13,deer mouse,141,60,15,19,17.6,M,A
2016-07-13,prairie vole,141,27,16,19,31.2,M,A
2016-07-13,prairie vole,146,32,15,17,34.7,F,A
2016-07-13,deer mouse,148,57,17,18,16.3,M,A
2016-07-13,deer mouse,143,59,17,19,21.5,M,A
2016-07-13,deer mouse,143,55,16,19,15.6,M,A
2016-07-13,prairie vole,140,29,13,20,35.5,F,A
2016-07-14,eastern woodrat,325,143,27,37,162.7,F,A
2016-07-14,prairie vole,155,35,15,19,41.1,M,A
2016-07-14,western harvest mouse,136,66,15,17,9.6,F,A
2016-07-14,prairie vole,149,33,15,19,35.6,F,A
2016-07-14,western harvest mouse,143,69,14,17,10.3,M,A
2016-07-14,western harvest mouse,146,66,14,17.5,11.7,M,A
2016-07-14,prairie vole,111,29,14,18,15.1,F,SA
2016-07-14,western harvest mouse,152,69,14,17,12.4,M,A
2016-07-14,prairie vole,155,36,16,20,37.4,M,A
2016-07-14,deer mouse,136,55,18,19,15.3,F,A
2016-07-14,deer mouse,153,61,17,20,20.7,M,A
2016-07-14,prairie vole,148,36,16,18,36.2,M,A
2016-07-15,eastern woodrat,278,132,25,38,131,F,A
2016-07-15,prairie vole,125,30,12,19,24.2,M,JUV
2016-07-15,prairie vole,130,34,13,20,22.2,F,JUV
2016-07-15,western harvest mouse,134,69,14,17,10.9,M,A
2016-07-15,western harvest mouse,145,76,13,17,11.5,M,A
2016-07-15,prairie vole,99,22,10,18,10.8,M,JUV
2016-07-15,prairie vole,150,34,14,20,34.5,F,A
2016-07-15,prairie vole,147,40,12,20,31.1,M,A
2016-07-20,western harvest mouse,NA,66,16,13,10,M,A
2016-07-20,deer mouse,NA,56,19,14,16,M,A
2016-07-20,deer mouse,NA,60,19,14,19,M,A
2016-07-20,western harvest mouse,NA,62,16,12,11,M,A
2016-07-20,deer mouse,NA,61,20,14,16,F,A
2016-07-20,western harvest mouse,NA,63,17,13,11,F,A
2016-07-20,prairie vole,NA,29,18,13,18,F,Juv
2016-07-20,western harvest mouse,NA,72,17,14,12,M,A
2016-07-20,western harvest mouse,NA,62,16,13,11,F,A
2016-07-20,prairie vole,NA,33,20,NA,47,F,A
2016-07-20,prairie vole,NA,30,21,13,33,F,A
2016-07-20,prairie vole,142,31,19,10,39.4,F,A
2016-07-20,western harvest mouse,134,51,17,14,15,M,A
2016-07-21,western harvest mouse,NA,60,17,13,10.5,F,A
2016-07-21,deer mouse,NA,62,18,14,17.5,M,A
2016-07-21,deer mouse,NA,57,18,14,13.5,F,A
2016-07-21,deer mouse,NA,NA,NA,NA,NA,N,NA
2016-07-21,deer mouse,NA,58,19,14,16.5,M,A
2016-07-21,deer mouse,NA,62,19,14,18.5,M,A
2016-07-21,deer mouse,NA,59,20,14,14,M,A
2016-07-21,prairie vole,NA,34,20,13,34,F,A
2016-07-21,deer mouse,NA,58,20,14,16,F,A
2016-07-21,deer mouse,NA,58,19,14,17,M,A
2016-07-21,western harvest mouse,NA,67,12,13,10.5,M,A
